District,District Code
Academy for Business and Technology,82921
Academy of Warren,50911
Adams Township School District,31020
Addison Community Schools,46020
Adrian Public Schools,46010
Airport Community Schools,58020
Akron-Fairgrove Schools,79010
Alanson Public Schools,24030
Alba Public Schools,5010
Alcona Community Schools,1010
Algonac Community School District,74030
Allegan Public Schools,3030
Allen Park Public Schools,82020
Allendale Public Schools,70040
Alma Public Schools,29010
Almont Community Schools,44020
Alpena Public Schools,4010
American Montessori Academy,82981
Anchor Bay School District,50040
Ann Arbor Public Schools,81010
Arbor Academy,13901
Arenac Eastern School District,6010
Armada Area Schools,50050
Arts Academy in the Woods,50905
Arts and Technology Academy of Pontiac,63915
Arvon Township School District,7010
Ashley Community Schools,29020
Athens Area Schools,13050
Atherton Community Schools,25130
Atlanta Community Schools,60010
Au Gres-Sims School District,6020
AuTrain-Onota Public Schools,2010
Avondale School District,63070
Bad Axe Public Schools,32010
Baldwin Community Schools,43040
Bangor Public Schools (Van Buren),80020
Bangor Township S/D #8,80240
Bangor Township Schools,9030
Barack Obama Leadership Academy,82933
Baraga Area Schools,7020
Bark River-Harris School District,21090
Bath Community Schools,19100
Battle Creek Public Schools,13020
Bay City Academy,9903
Bay City School District,9010
Bay-Arenac Community High School,9901
Beal City Public Schools,37040
Bear Lake School District,51020
Beaver Island Community School,15010
Beaverton Schools,26010
Bedford Public Schools,58030
Beecher Community School District,25240
Belding Area School District,34080
Bellaire Public Schools,5040
Bellevue Community Schools,23010
Bendle Public Schools,25060
Bentley Community School District,25230
Benton Harbor Area Schools,11010
Benzie County Central Schools,10015
Berkley School District,63050
Berlin Township S/D #3,34140
Berrien Springs Public Schools,11240
Bessemer Area School District,27010
Big Bay De Noc School District,21065
Big Jackson School District,62470
Big Rapids Public Schools,54010
Birch Run Area Schools,73170
Birmingham Public Schools,63010
Blissfield Community Schools,46040
Bloomfield Hills Schools,63080
Bloomingdale Public School District,80090
Bois Blanc Pines School District,49020
Boyne City Public Schools,15020
Boyne Falls Public School District,15030
Brandon School District in the Counties of Oakland and Lapeer,63180
Brandywine Community Schools,11210
Breckenridge Community Schools,29040
Breitung Township School District,22030
Bridge Academy,82983
Bridge Academy of Southwest Michigan,11900
Bridgeport-Spaulding Community School District,73180
Bridgman Public Schools,11340
Brighton Area Schools,47010
Brimley Area Schools,17140
Britton-Macon Area School District,46050
Bronson Community School District,12020
Brown City Community Schools,76060
Buchanan Community Schools,11310
Buckley Community School District,28035
Bullock Creek School District,56020
Burr Oak Community School District,75020
Burt Township School District,2020
Byron Area Schools,78020
Byron Center Charter School,41908
Byron Center Public Schools,41040
Cadillac Area Public Schools,83010
Caledonia Community Schools,41050
Camden-Frontier Schools,30010
Caniff Liberty Academy,82745
Capac Community School District,74040
Carman-Ainsworth Community Schools,25080
Carney-Nadeau Public Schools,55010
Caro Community Schools,79020
Carrollton Public Schools,73030
Carson City-Crystal Area Schools,59020
Carsonville-Port Sanilac School District,76070
Caseville Public Schools,32030
Casman Alternative Academy,51903
Cass City Public Schools,79030
Cassopolis Public Schools,14010
Cedar Springs Public Schools,41070
Center Line Public Schools,50010
Central Academy,81902
Central Lake Public Schools,5035
Central Montcalm Public Schools,59125
Centreville Public Schools,75030
Cesar Chavez Academy,82918
Chandler Park Academy,82923
Charlevoix Public Schools,15050
Charlotte Public Schools,23030
Charlton Heston Academy,72901
Charyl Stockwell Academy,47902
Chassell Township School District,31050
Chatfield School,44901
Cheboygan Area Schools,16015
Chelsea School District,81040
Chesaning Union Schools,73110
Chippewa Hills School District,54025
Chippewa Valley Schools,50080
Church School District,32040
Clare Public Schools,18010
Clarenceville School District,63090
Clarkston Community School District,63190
Clawson Public Schools,63270
Climax-Scotts Community Schools,39020
Clinton Community Schools,46060
Clintondale Community Schools,50070
Clio Area School District,25150
Coldwater Community Schools,12010
Coleman Community Schools,56030
Colfax Township S/D #1F,32260
Coloma Community Schools,11330
Colon Community School District,75040
Columbia School District,38040
Commonwealth Community Development Academy,82919
Comstock Park Public Schools,41080
Comstock Public Schools,39030
Concord Academy - Boyne,15901
Concord Community Schools,38080
Constantine Public School District,75050
Coopersville Area Public School District,70120
Copper Island Academy,31900
Cornerstone Jefferson-Douglass Academy,82760
Corunna Public Schools,78100
Countryside Academy,11901
Covert Public Schools,80040
Crawford AuSable Schools,20015
Creative Technologies Academy,41918
Crescent Academy,63921
Crestwood School District,82230
Crossroads Charter Academy,54901
Croswell-Lexington Community,76080
Da Vinci Institute,38901
Dansville Schools,33040
David Ellis Academy,82947
David Ellis Academy West,82994
Davison Community Schools,25140
Dearborn City School District,82030
Dearborn Heights School District #7,82040
Decatur Public Schools,80050
Deckerville Community School District,76090
Delton-Kellogg School District,8010
DeTour Area Schools,17050
Detroit Academy of Arts and Sciences,82929
Detroit Achievement Academy,82700
Detroit Community Schools,82925
Detroit Leadership Academy,82722
Detroit Public Safety Academy,82704
Detroit Public Schools Community District,82015
Detroit Service Learning Academy,82953
DeWitt Public Schools,19010
Dexter Community School District,81050
Discovery Creative Pathways,82763
Dollar Bay-Tamarack City Area Schools,31100
Dowagiac Union School District,14020
Dr. Joseph F. Pollack Academic Center of Excellence,63910
Dryden Community Schools,44050
Dundee Community Schools,58050
Durand Area Schools,78030
Eagle's Nest Academy,25916
East China School District,74050
East Grand Rapids Public Schools,41090
East Jackson Community Schools,38090
East Jordan Public Schools,15060
East Lansing School District,33010
Easton Township S/D #6,34340
Eastpointe Community Schools,50020
Eaton Rapids Public Schools,23050
Eau Claire Public Schools,11250
Ecorse Public Schools,82250
Edwardsburg Public Schools,14030
Elk Rapids Schools,5060
Elkton-Pigeon-Bay Port Laker Schools,32050
Ellsworth Community School,5065
Elm River Township School District,31070
Engadine Consolidated Schools,49055
Escanaba Area Public Schools,21010
Escuela Avancemos,82744
Essexville-Hampton Public Schools,9050
Evart Public Schools,67020
Ewen-Trout Creek Consolidated School District,66045
Excelsior Township S/D #1,40060
Fairview Area School District,68030
Farmington Public School District,63200
Farwell Area Schools,18020
Faxon Academy,63926
Fennville Public Schools,3050
Fenton Area Public Schools,25100
Ferndale Public Schools,63020
Fitzgerald Public Schools,50090
Flat River Academy,41911
Flat Rock Community Schools,82180
FlexTech High School,47903
Flextech High School Shepherd,37900
"Flint, School District of the City of",25010
Flushing Community Schools,25120
Forest Area Community Schools,40020
Forest Hills Public Schools,41110
Forest Park School District,36015
Fostering Leadership Academy,82772
Fowler Public Schools,19070
Fowlerville Community Schools,47030
Francis Reh PSA,73909
Frankenmuth School District,73190
Frankfort-Elberta Area Schools,10025
Fraser Public Schools,50100
Freeland Community School District,73200
Fremont Public School District,62040
Frontier International Academy,82987
Fruitport Community Schools,61080
Fulton Schools,29050
Galesburg-Augusta Community Schools,39050
Garden City Public Schools,82050
Gateway To Success Academy,53901
Gaylord Community Schools,69020
Genesee School District,25070
George Crockett Academy,82937
George Washington Carver Academy,82963
Gibraltar School District,82290
Gladstone Area Schools,21025
Gladwin Community Schools,26040
Glen Lake Community Schools,45010
Glenn Public School District,3440
Global Heights Academy,82725
Global Tech Academy,81900
Gobles Public School District,80110
Godfrey-Lee Public Schools,41120
Godwin Heights Public Schools,41020
Goodrich Area Schools,25050
Grand Blanc Academy,25903
Grand Blanc Community Schools,25030
Grand Haven Area Public Schools,70010
Grand Ledge Public Schools,23060
Grand Rapids Public Schools,41010
Grandville Public Schools,41130
Grant Public School District,62050
Grant Township S/D #2,42030
Grass Lake Community Schools,38050
Greater Heights Academy,25914
Greenville Public Schools,59070
Grosse Ile Township Schools,82300
Grosse Pointe Public Schools,82055
Gull Lake Community Schools,39065
Gwinn Area Community Schools,52040
Hagar Township S/D #6,11670
Hale Area Schools,35020
Hamilton Community Schools,3100
"Hamtramck, School District of the City of ",82060
Hancock Public Schools,31010
Hanley International Academy,82986
Hanover-Horton School District,38100
Harbor Beach Community Schools,32060
Harbor Springs School District,24020
Harper Creek Community Schools,13070
"Harper Woods, The School District of the City of ",82320
Harrison Community Schools,18060
Hart Public School District,64040
Hartford Public Schools,80120
Hartland Consolidated Schools,47060
Haslett Public Schools,33060
Hastings Area School District,8030
"Hazel Park, School District of the City of",63130
Hemlock Public School District,73210
Hesperia Community Schools,62060
Highland Park City Schools,82070
Hillman Community Schools,60020
Hillsdale Community Schools,30020
Holland City School District,70020
Holly Academy,63911
Holly Area School District,63210
Holt Public Schools,33070
Holton Public Schools,61120
Homer Community School District,13080
Hope Academy,82942
Hope Academy of West Michigan,41926
Hope of Detroit Academy,82957
Hopkins Public Schools,3070
Houghton Lake Community Schools,72020
Houghton-Portage Township School District,31110
Howell Public Schools,47070
Hudson Area Schools,46080
Hudsonville Public School District,70190
Huron Academy,50903
Huron School District,82340
Huron Valley Schools,63220
ICademy Global,70909
Ida Public School District,58070
Imlay City Community Schools,44060
Inland Lakes Schools,16050
Innocademy,70908
Innocademy Allegan Campus,3900
Insight School of Michigan,23903
International Academy of Flint,25905
International Academy of Saginaw,73912
Ionia Public Schools,34010
Ionia Township S/D #2,34360
Iron Mountain Public Schools,22010
Ironwood Area Schools of Gogebic County,27020
Ishpeming Public School District No. 1,52180
Ithaca Public Schools,29060
Jackson Preparatory & Early College,38900
Jackson Public Schools,38170
Jalen Rose Leadership Academy,82728
Jefferson Schools (Monroe),58080
Jenison Public Schools,70175
Johannesburg-Lewiston Area Schools,69030
Jonesville Community Schools,30030
Joseph K. Lumsden Bahweting Anishnabe Academy,17901
Joy Preparatory Academy,82958
Kalamazoo Covenant Academy,39911
Kalamazoo Public Schools,39010
Kaleva Norman Dickson School District,51045
Kalkaska Public Schools,40040
Kearsley Community School District,25110
Kelloggsville Public Schools,41140
Kenowa Hills Public Schools,41145
Kensington Woods Schools,47901
Kent City Community Schools,41150
Kentwood Public Schools,41160
Keys Grace Academy,63938
Kingsbury Country Day School,63934
Kingsley Area Schools,28090
Kingston Community School District,79080
L'Anse Area Schools,7040
L'Anse Creuse Public Schools,50140
Laingsburg Community School District,78040
Lake City Area School District,57020
Lake Fenton Community Schools,25200
Lake Linden-Hubbell School District,31130
Lake Orion Community Schools,63230
Lake Shore Public Schools (Macomb),50120
Lake Superior Academy,17900
Lakeshore School District (Berrien),11030
Lakeview Community Schools (Montcalm),59090
Lakeview Public Schools (Macomb),50130
Lakeview Sch. District (Calhoun),13090
LakeVille Community School District,25280
Lakewood Public Schools,34090
Lamphere Public Schools,63280
Lansing Public School District,33020
Lapeer Community Schools,44010
Lawrence Public School District,80130
Lawton Community School District,80140
Leland Public School District,45020
Les Cheneaux Community Schools,49040
Leslie Public Schools,33100
Light of the World Academy,47900
Lincoln Consolidated School District,81070
"Lincoln Park, School District of the City of ",82090
Lincoln-King Adams-Young Academy,82773
Linden Community Schools,25250
Litchfield Community Schools,30040
Livonia Public Schools School District,82095
Lowell Area Schools,41170
Ludington Area School District,53040
MacDowell Preparatory Academy,82747
Mackinac Island Public Schools,49110
Mackinaw City Public Schools,16070
Madison Academy,25911
Madison District Public Schools,63140
Madison School District (Lenawee),46090
Madison-Carver Academy,82742
Mancelona Public Schools,5070
Manchester Community Schools,81080
Manistee Area Public Schools,51070
Manistique Area Schools,77010
Manton Consolidated Schools,83060
Maple Valley Schools,23065
Mar Lee School District,13095
Marcellus Community Schools,14050
Marion Public Schools,67050
Marlette Community Schools,76140
Marquette Area Public Schools,52170
Marshall Academy,13903
Marshall Public Schools,13110
Martin Public Schools,3060
Marvin L. Winans Academy of Performing Arts,82924
Marysville Public Schools,74100
Mason Consolidated Schools (Monroe),58090
Mason County Central Schools,53010
Mason County Eastern Schools,53020
Mason Public Schools (Ingham),33130
Mattawan Consolidated School,80150
Mayville Community School District,79090
McBain Rural Agricultural Schools,57030
Melvindale-Northern Allen Park Schools,82045
Memphis Community Schools,74120
Mendon Community School District,75060
Menominee Area Public Schools,55100
Meridian Public Schools,56050
Merrill Community Schools,73230
Merritt Academy,50906
Mesick Consolidated Schools,83070
Michigan Center School District,38120
Michigan Collegiate,50902
Michigan Educational Choice Center,82751
Michigan International Prep School,19900
Michigan Mathematics and Science Academy,63924
Michigan Online School,80900
Mid Peninsula School District,21135
Mid-Michigan Leadership Academy,33904
Midland Public Schools,56010
Milan Area Schools,81100
Mildred C. Wells Preparatory Academy,11904
Millington Community Schools,79100
Mio-AuSable Schools,68010
Momentum Academy,63928
Mona Shores Public School District,61060
Monroe Public Schools,58010
Montabella Community Schools,59045
Montague Area Public Schools,61180
Montrose Community Schools,25260
Moran Township School District,49070
Morenci Area Schools,46100
Morley Stanwood Community Schools,54040
Morrice Area Schools,78060
Mount Clemens Community School District,50160
Mt. Clemens Montessori Academy,50908
Mt. Morris Consolidated Schools,25040
Mt. Pleasant City School District,37010
Multicultural Academy,81908
Munising Public Schools,2070
Muskegon Covenant Academy,61906
Muskegon Heights Public School Academy System,61905
Muskegon Heights School District,61020
"Muskegon, Public Schools of the City of ",61010
N.I.C.E. Community Schools,52015
Nah Tah Wahsh Public School Academy,55901
Napoleon Community Schools,38130
Negaunee Public Schools,52090
New Bedford Academy,58901
New Buffalo Area Schools,11200
New Dawn Academy of Warren,50920
New Haven Community Schools,50170
New Lothrop Area Public Schools,78070
Newaygo Public School District,62070
Niles Community Schools,11300
North Adams-Jerome Public Schools,30050
North Branch Area Schools,44090
North Central Area Schools,55115
North Dickinson County Schools,22045
North Huron School District,32080
North Muskegon Public Schools,61230
North Star Montessori Academy,52901
Northport Public School District,45040
Northridge Academy,25904
Northview Public Schools,41025
Northville Public Schools,82390
Northwest Community Schools,38140
Norway-Vulcan Area Schools,22025
Nottawa Community School,75100
Novi Community School District,63100
"Oak Park, School District of the City of ",63250
Oakland FlexTech High School,63931
Oakland International Academy,63912
Oakridge Public Schools,61065
Okemos Public Schools,33170
Old Mission Peninsula School,28900
Old Redford Academy,82956
Olivet Community Schools,23080
Onaway Area Community School District,71050
Oneida Township S/D #3,23490
Onekama Consolidated Schools,51060
Onsted Community Schools,46110
Ontonagon Area School District,66050
Orchard View Schools,61190
Oscoda Area Schools,35010
Otsego Public Schools,3020
Outlook Academy,3902
Ovid-Elsie Area Schools,19120
Owendale-Gagetown Area School District,32090
Owosso Public Schools,78110
Oxford Community Schools,63110
Palo Community School District,34040
Parchment School District,39130
Pathways Academy,82737
Paw Paw Public School District,80160
Peck Community School District,76180
Pellston Public Schools,24040
Pennfield Schools,13120
Pentwater Public School District,64070
Perry Public School District,78080
Pewamo-Westphalia Community Schools,19125
Pickford Public Schools,17090
Pinckney Community Schools,47080
Pinconning Area Schools,9090
Pine River Area Schools,67055
Pittsfield Acres Academy,81915
Pittsford Area Schools,30060
Plainwell Community Schools,3010
Plymouth Educational Center Charter School,82904
Plymouth-Canton Community Schools,82100
Pontiac Academy for Excellence,63906
Pontiac City School District,63030
Port Hope Community Schools,32130
Port Huron Area School District,74010
Portage Public Schools,39140
Portland Public Schools,34110
Posen Consolidated School District No. 9,71060
Potterville Public Schools,23090
Powell Township Schools,52100
"Public Schools of Calumet, Laurium & Keweenaw ",31030
Public Schools of Petoskey,24070
Quincy Community Schools,12040
Rapid River Public Schools,21060
Ravenna Public Schools,61210
Reading Community Schools,30070
"Redford Union Schools, District No. 1 ",82110
Reed City Area Public Schools,67060
Reese Public Schools,79110
Reeths-Puffer Schools,61220
Renaissance Public School Academy,37901
Republic-Michigamme Schools,52110
Richfield Public School Academy,25910
Richmond Community Schools,50180
"River Rouge, School District of the City of ",82120
River Valley School District,11033
Riverside Academy,82975
Riverview Community School District,82400
Rochester Community School District,63260
Rockford Public Schools,41210
Rogers City Area Schools,71080
Romeo Community Schools,50190
Romulus Community Schools,82130
Roscommon Area Public Schools,72010
Roseville Community Schools,50030
Royal Oak Schools,63040
Rudyard Area Schools,17110
Saginaw Covenant Academy,73900
Saginaw Preparatory Academy,73908
Saginaw Township Community Schools,73040
"Saginaw, School District of the City of ",73010
Saline Area Schools,81120
Sand Creek Community Schools,46130
Sandusky Community School District,76210
Saranac Community Schools,34120
Saugatuck Public Schools,3080
Sault Ste. Marie Area Schools,17010
Schoolcraft Community Schools,39160
Shelby Public Schools,64080
Shepherd Public Schools,37060
Sigel Township S/D #3F,32610
Sigel Township S/D #4F,32620
Sigel Township S/D #6,32630
Sodus Township S/D #5,11830
South Haven Public Schools,80010
South Lake Schools,50200
South Lyon Community Schools,63240
South Redford School District,82140
Southfield Public School District,63060
Southgate Community School District,82405
Sparta Area Schools,41240
Spring Lake Public Schools,70300
Springport Public Schools,38150
St. Charles Community Schools,73240
St. Ignace Area Schools,49010
St. Johns Public Schools,19140
St. Joseph Public Schools,11020
St. Louis Public Schools,29100
Standish-Sterling Community Schools,6050
Stanton Township Public Schools,31140
State Street Academy,9902
Stephenson Area Public Schools,55120
Stockbridge Community Schools,33200
Sturgis Public Schools,75010
Summerfield Schools,58100
Summit Academy North,82938
Superior Central Schools,2080
Suttons Bay Public Schools,45050
Swan Valley School District,73255
Swartz Creek Community Schools,25180
Tahquamenon Area Schools,48040
Tawas Area Schools,35030
Taylor School District,82150
Tecumseh Public Schools,46140
Tekonsha Community Schools,13130
The Dearborn Academy,82928
The James and Grace Lee Boggs School,82706
The New Standard Academy,25912
Thornapple Kellogg School District,8050
Three Rivers Community Schools,75080
Tipton Academy,82754
Traverse City Area Public Schools,28010
Trenton Public Schools,82155
Tri County Area Schools,59080
Trillium Academy,82973
Troy School District,63150
Ubly Community Schools,32170
Union City Community Schools,13135
Unionville-Sebewaing Area S.D.,79145
Utica Community Schools,50210
Van Buren Public Schools,82430
Van Dyke Public Schools,50220
Vanderbilt Area Schools,69040
Vandercook Lake Public Schools,38020
Vassar Public Schools,79150
Verona Township S/D #1F,32650
Vestaburg Community Schools,59150
Vicksburg Community Schools,39170
Voyageur Academy,82940
W-A-Y Academy,82746
Wakefield-Marenisco School District,27070
Waldron Area Schools,30080
Walkerville Public Schools,64090
Walled Lake Consolidated Schools,63290
Warren Consolidated Schools,50230
Warren Woods Public Schools,50240
Washington-Parks Academy,82719
Waterford School District,63300
Watersmeet Township School District,27080
Watervliet School District,11320
Waverly Community Schools,33215
WAY Academy - Flint,25915
WAY Michigan,82710
Wayland Union Schools,3040
Wayne-Westland Community School District,82160
Webberville Community Schools,33220
Wells Township School District,52160
West Bloomfield School District,63160
West Branch-Rose City Area Schools,65045
West Iron County Public Schools,36025
West Ottawa Public School District,70070
Western School District,38010
Weston Preparatory Academy,82943
Westwood Community School District,82240
Westwood Heights Schools,25210
White Cloud Public Schools,62090
White Pigeon Community Schools,75070
Whitefish Township Schools,17160
Whiteford Agricultural School District of the Counties of Lenawee and Monroe,58110
Whitehall District Schools,61240
Whitmore Lake Public School District,81140
Whittemore-Prescott Area Schools,35040
William C. Abney Academy,41917
Williamston Community Schools,33230
Wolverine Community Schools,16100
Woodhaven-Brownstown School District,82365
Woodland Park Academy,25902
Woodland School,28901
"Wyandotte, School District of the City of",82170
Wyoming Public Schools,41026
Yale Public Schools,74130
Ypsilanti Community Schools,81020
Zeeland Public Schools,70350