ISD,ISD Code
Menominee ISD,55
Alpena-Montmorency-Alcona ESD,4
Ottawa Area ISD,70
Charlevoix-Emmet ISD,15
Iosco RESA,35
Kent ISD,41
Ionia ISD,34
Bay-Arenac ISD,9
Branch ISD,12
Barry ISD,8
Van Buren ISD,80
Heritage Southwest ISD,14
Berrien RESA,11
Gratiot-Isabella RESD,29
Delta-Schoolcraft ISD,21
Eaton ISD,23
Tuscola ISD,79
C.O.O.R. ISD,72
Gogebic-Ontonagon ISD,27
Jackson ISD,38
Lenawee ISD,46
Shiawassee Regional ESD,78
Montcalm Area ISD,59
Clare-Gladwin Regional Education Service District,18
Ingham ISD,33
Manistee ISD,51
Wexford-Missaukee ISD,83
Sanilac ISD,76
Monroe ISD,58
Hillsdale ISD,30
Genesee ISD,25
Eastern Upper Peninsula ISD,17
Macomb ISD,50
Marquette-Alger RESA,52
Dickinson-Iron ISD,22
Midland County Educational Service Agency,56
Wayne RESA,82
Washtenaw ISD,81
Mecosta-Osceola ISD,54
Newaygo County RESA,62
West Shore Educational Service District,53
Lapeer ISD,44
Copper Country ISD,31
Cheb-Otsego-Presque Isle ESD,16
Muskegon Area ISD,61
St. Clair County RESA,74
Calhoun ISD,13
Kalamazoo RESA,39
St. Joseph County ISD,75
Saginaw ISD,73
Clinton County RESA,19
Huron ISD,32
Allegan Area Educational Service Agency,3
Oakland Schools,63
Livingston ESA,47
Traverse Bay Area ISD,28