PSA,PSA Code,Street,City,State,Zip,Address_Unformatted,Latitude,Longitude,Address,confidence,confidence_city_level,confidence_street_level
Keystone Academy,82976,47925 Bemis Rd,Belleville,MI,48111,"47925 Bemis Rd, Belleville, MI 48111",42.1733409,-83.50642523,"Keystone Academy, 47925 Bemis Road, Belleville, MI 48111, United States of America",1,1,1
King Academy,82932,1615 Henry Ruff Road,Inkster,MI,48141,"1615 Henry Ruff Road, Inkster, MI 48141",42.3002654,-83.3395667,"1615 Henry Ruff Road, Inkster, MI 48141, United States of America",1,1,1
Kingsbury Country Day School,63934,5000 Hosner Rd,Oxford,MI,48370,"5000 Hosner Rd, Oxford, MI 48370",42.871158,-83.20268,"5000 Hosner Road, Dryden Township, MI 48370, United States of America",1,1,1
KIPP Detroit Imani Academy,82775,19321 W Chicago St,Detroit,MI,48228,"19321 W Chicago St, Detroit, MI 48228",42.36472953,-83.230341,"19321 West Chicago Street, Detroit, MI 48228, United States of America",1,1,1
Knapp Charter Academy,41914,1759 Leffingwell Ave Ne,Grand Rapids,MI,49525,"1759 Leffingwell Ave Ne, Grand Rapids, MI 49525",42.99375305,-85.60286173,"Knapp Charter Academy, 1759 Leffingwell Avenue Northeast, Grand Rapids, MI 49525, United States of America",1,1,1
Lake Superior Academy,17900,8936 S Mackinac Trl,Sault S Marie,MI,49783,"8936 S Mackinac Trl, Sault S Marie, MI 49783",46.37712712,-84.40525633,"8936 South Mackinac Trail, Dafter Township, MI 49783, United States of America",1,1,1
Lakeshore Public Academy,64901,6023 N. 72nd Avenue,Hart,MI,49420,"6023 N. 72nd Avenue, Hart, MI 49420",43.75454245,-86.37884145,"6023 North 72nd Avenue, Weare Township, MI 49420, United States of America",1,1,1
Lakeside Charter School - Albion,13905,13725 Starr Commonwealth Road,Albion,MI,49224,"13725 Starr Commonwealth Road, Albion, MI 49224",42.27501,42.27501,"13725 Starr Commonwealth Road, Albion, MI 49224",,,
Lakeside Charter School - Kalamazoo,39900,3921 Oakland Dr Frnt,Kalamazoo,MI,49008,"3921 Oakland Dr Frnt, Kalamazoo, MI 49008",42.263841,-85.617047,"Kalamazoo (Kalamazoo), MI 49008, United States of America",0.25,1,
Landmark Academy,74903,4800 Lapeer Rd,Kimball,MI,48074,"4800 Lapeer Rd, Kimball, MI 48074",42.98324154,-82.51719283,"4800 Lapeer Road, Saint Clair County, MI 48074, United States of America",1,1,1
Laurus Academy,63918,24590 Lahser Rd,Southfield,MI,48033,"24590 Lahser Rd, Southfield, MI 48033",42.46867532,-83.26046487,"24590 Lahser Road, Southfield, MI 48033, United States of America",1,1,1
Leaders Preparatory Academy,63904,27700 Southfield Rd,Lathrup Village,MI,48076,"27700 Southfield Rd, Lathrup Village, MI 48076",42.4861739,-83.2211584,"Cooper St. Cookies, 27700 Southfield Road, Lathrup Village, MI 48076, United States of America",1,1,1
"Learn, Live, Lead Academy",33912,3000 W. Miller Road,Lansing,MI,48910,"3000 W. Miller Road, Lansing, MI 48910",42.669772,-84.590645,"3000 West Miller Road, Lansing, MI 48911, United States of America",1,1,1
Leelanau Montessori Public School Academy,45901,7401 E Duck Lake Rd,Lake Leelanau,MI,49653,"7401 E Duck Lake Rd, Lake Leelanau, MI 49653",44.985665,-85.704791,"7401 East Duck Lake Road, Lake Leelanau, MI 49653, United States of America",1,1,1
Legacy Charter Academy,82723,4900 E Hildale St,Detroit,MI,48234,"4900 E Hildale St, Detroit, MI 48234",42.42879405,-83.05417471,"Legacy Charter Academy, 4900 East Hildale Street, Detroit, MI 48234, United States of America",1,1,1
Life Skills Center of Metropolitan Detroit,82978,3100 East Jefferson Ave,Detroit,MI,48207,"3100 East Jefferson Ave, Detroit, MI 48207",42.340283,-83.017684,"3100 East Jefferson Avenue, Detroit, MI 48207, United States of America",1,1,1
LifeTech Academy,23900,854 Elmwood Rd,Lansing,MI,48917,"854 Elmwood Rd, Lansing, MI 48917",42.7432013,-84.6223938,"854 Elmwood Road, Lansing, MI 48917, United States of America",1,1,1
Light of the World Academy,47900,550 E Hamburg St,Pinckney,MI,48169,"550 E Hamburg St, Pinckney, MI 48169",42.45952965,-83.94239482,"550 East Hamburg Street, Pinckney, MI 48169, United States of America",1,1,1
Lighthouse Academy,41922,3300 36th St Se,Grand Rapids,MI,49512,"3300 36th St Se, Grand Rapids, MI 49512",42.897905,-85.5851638,"3300 36th Street Southeast, Kentwood, MI 49512, United States of America",1,1,1
Lighthouse Connections Academy,63939,3150 Livernois Rd,Troy,MI,48083,"3150 Livernois Rd, Troy, MI 48083",42.56417941,-83.14765321,"3150 Livernois Road, Troy, MI 48083, United States of America",1,1,1
Lincoln-King Academy,82720,13436 Grove St,Detroit,MI,48235,"13436 Grove St, Detroit, MI 48235",42.41430405,-83.17721632,"13436 Grove Street, Detroit, MI 48235, United States of America",1,1,1
Lincoln-King Adams-Young Academy,82773,13436 Grove St,Detroit,MI,48235,"13436 Grove St, Detroit, MI 48235",42.41430405,-83.17721632,"13436 Grove Street, Detroit, MI 48235, United States of America",1,1,1
Linden Charter Academy,25907,3244 N Linden Rd,Flint,MI,48504,"3244 N Linden Rd, Flint, MI 48504",43.05391194,-83.77270302,"3244 North Linden Road, Mount Morris Charter Township, MI 48504, United States of America",1,1,1
Livingston Classical Academy,81913,8877 Main St,Whitmore Lake,MI,48189,"8877 Main St, Whitmore Lake, MI 48189",42.41397481,-83.76118829,"8877 Main Street, Northfield Township, MI 48189, United States of America",1,1,1
MacDowell Preparatory Academy,82747,4201 W Outer Dr,Detroit,MI,48221,"4201 W Outer Dr, Detroit, MI 48221",42.4349708,-83.16589685,"4201 West Outer Drive, Detroit, MI 48221, United States of America",1,1,1
Mackinac Preparatory Academy,53900,525 4th Street,Baldwin,MI,49304,"525 4th Street, Baldwin, MI 49304",43.88983404,-85.85717349,"525 4th Street, Baldwin, MI 49304, United States of America",1,1,1
Macomb Academy,50901,39092 Garfield Rd,Clinton Township,MI,48038,"39092 Garfield Rd, Clinton Township, MI 48038",42.58426454,-82.95181271,"39092 Garfield Road, Clinton Township, MI 48038, United States of America",1,1,1
Macomb Montessori Academy,50914,14057 E 9 Mile Rd,Warren,MI,48089,"14057 E 9 Mile Rd, Warren, MI 48089",42.46403954,-82.98051114,"14057 East 9 Mile Road, Warren, MI 48089, United States of America",1,1,1
Madison Academy ,25911,6170 Torrey Rd,Flint,MI,48507,"6170 Torrey Rd, Flint, MI 48507",42.939091,-83.73471,"6170 Torrey Rd, Flint, MI 48507", ,,
Madison Academy -  Elementary/Middle School,9450,6170 Torrey Rd,Flint,MI,48507,"6170 Torrey Rd, Flint, MI 48507",42.93935143,-83.73171692,"6170 Torrey Road, Mundy Charter Township, MI 48507, United States of America",1,1,1
Madison Academy - High School,499,3266 S Genesee Rd,Burton,MI,48519,"3266 S Genesee Rd, Burton, MI 48519",42.9823824,-83.61402839,"3266 South Genesee Road, Burton, MI 48519, United States of America",1,1,1
Madison-Carver Academy,82742,19900 Mcintyre St,Detroit,MI,48219,"19900 Mcintyre St, Detroit, MI 48219",42.437297,-83.263286,"19900 McIntyre Street, Detroit, MI 48219, United States of America",1,1,1
Marshall Academy,13903,18203 Homer Rd,Marshall,MI,49068,"18203 Homer Rd, Marshall, MI 49068",42.2510891,-84.94083446,"18203 Homer Road, Marshall, MI 49068, United States of America",1,1,1
"Martin Luther King, Jr. Education Center Academy",82910,16827 Appoline St,Detroit,MI,48235,"16827 Appoline St, Detroit, MI 48235",42.414611,-83.171291,"16827 Appoline Street, Detroit, MI 48235, United States of America",1,1,1
Marvin L. Winans Academy of Performing Arts ,82924,9740 McKinney St,Detroit,MI,48224,"9740 McKinney St, Detroit, MI 48224",42.939091,-83.734711,"9740 McKinney St, Detroit, MI 48224", ,,
Merritt Academy,50906,59900 Havenridge Rd,New Haven,MI,48048,"59900 Havenridge Rd, New Haven, MI 48048",42.74099885,-82.80171526,"59900 Havenridge Road, Macomb County, MI 48048, United States of America",1,1,1
Metro Charter Academy,82967,34800 Ecorse Rd,Romulus,MI,48174,"34800 Ecorse Rd, Romulus, MI 48174",42.25221157,-83.3812034,"34800 Ecorse Road, Romulus, MI 48174, United States of America",1,1,1
Metropolitan Transitional Academy,82972,3414 Ash,Inkster,MI,48141,"3414 Ash, Inkster, MI 48141",42.2857894,-83.3172684,"3414 Ash Street, Inkster, MI 48141, United States of America",0.9,1,0.9
MI Institute for Construction Trades,82944,1201 E. Grand Boulevard,Detroit,MI,48211,"1201 E. Grand Boulevard, Detroit, MI 48211",42.374695,-83.0197192,"1201 East Grand Boulevard, Detroit, MI 48211, United States of America",1,1,1
Michigan Collegiate,50902,31300 Ryan Rd,Warren,MI,48092,"31300 Ryan Rd, Warren, MI 48092",42.52315789,-83.06792257,"31300 Ryan Road, Warren, MI 48092, United States of America",1,1,1
Michigan Connections Academy,33911,3950 Heritage Ave # 100,Okemos,MI,48864,"3950 Heritage Ave # 100, Okemos, MI 48864",42.69616246,-84.43668012,"3950 Heritage Avenue, Meridian Charter Township, MI 48864, United States of America",1,1,1
Michigan Educational Choice Center,82751,20045 Joann St,Detroit,MI,48205,"20045 Joann St, Detroit, MI 48205",42.4442627,-82.99100023,"20045 Joann Street, Detroit, MI 48205, United States of America",1,1,1
Michigan Great Lakes Virtual Academy,51905,50 Filer St,Manistee,MI,49660,"50 Filer St, Manistee, MI 49660",44.24767659,-86.32011521,"50 Filer Street, Manistee, MI 49660, United States of America",1,1,1
Michigan Health Academy,82917,5845 Auburn St,Detroit,MI,48228,"5845 Auburn St, Detroit, MI 48228",42.33130465,-83.23297079,"5845 Auburn Street, Detroit, MI 48228, United States of America",1,1,1
Michigan International Prep School,19900,3750 Cleary Dr,Howell,MI,48843,"3750 Cleary Dr, Howell, MI 48843",42.58746595,-83.88048113,"Cleary University, 3750 Cleary Drive, Howell, MI 48843, United States of America",1,1,1
Michigan International Prep School - Elsie,3169,8989 E Colony Rd,Elsie,MI,48831,"8989 E Colony Rd, Elsie, MI 48831",43.0471271,-84.39271137,"Ovid-Elsie High School, 8989 East Colony Road, Elsie, MI 48831, United States of America",1,1,1
Michigan Mathematics and Science Academy,63924,27300 Dequindre Rd,Warren,MI,48092,"27300 Dequindre Rd, Warren, MI 48092",42.49283,-83.085072,"27300 Dequindre Road, Warren, MI 48092, United States of America",1,1,1
Michigan Online School,80900,209 S State St,Gobles,MI,49055,"209 S State St, Gobles, MI 49055",42.35930694,-85.87885467,"209 South State Street, Gobles, MI 49055, United States of America",1,1,1
Michigan School for the Arts,63927,825 Golf Drive,Pontiac,MI,48341,"825 Golf Drive, Pontiac, MI 48341",42.61795891,-83.30407754,"825 Golf Drive, Pontiac, MI 48341, United States of America",1,1,1
Michigan Virtual Charter Academy,41925,1620 E Elza Ave,Hazel Park,MI,48030,"1620 E Elza Ave, Hazel Park, MI 48030",42.45176199,-83.08759721,"1620 East Elza Avenue, Hazel Park, MI 48030, United States of America",1,1,1
Mid-Michigan Leadership Academy,33904,730 W Maple St,Lansing,MI,48906,"730 W Maple St, Lansing, MI 48906",42.7469205,-84.5607742,"730 West Maple Street, Lansing, MI 48906, United States of America",1,1,1
Midland Academy of Advanced and Creative Studies,56902,4653 East Bailey Bridge Rd,Midland,MI,48640,"4653 East Bailey Bridge Rd, Midland, MI 48640",43.568651,-84.181502,"4653 Bailey Bridge Road, Midland, MI 48640, United States of America",0.9,1,0.9
Mildred C. Wells Preparatory Academy,11904,248 9th St,Benton Harbor,MI,49022,"248 9th St, Benton Harbor, MI 49022",42.11363141,-86.45899076,"248 9th Street, Benton Harbor, MI 49022, United States of America",1,1,1
Momentum Academy,63928,60 S Lynn Ave,Waterford,MI,48328,"60 S Lynn Ave, Waterford, MI 48328",42.63361007,-83.33561225,"60 South Lynn Avenue, Waterford Township, MI 48328, United States of America",1,1,1
Mt. Clemens Montessori Academy,50908,1070 Hampton Rd,Mount Clemens,MI,48043,"1070 Hampton Rd, Mount Clemens, MI 48043",42.5859217,-82.89177223,"1070 Hampton Road, Mount Clemens, MI 48043, United States of America",1,1,1
Multicultural Academy,81908,5550 Platt Rd,Ann Arbor,MI,48108,"5550 Platt Rd, Ann Arbor, MI 48108",42.20738685,-83.7006356,"Multicultural Academy, 5550 Platt Road, Ann Arbor, MI 48108, United States of America",1,1,1
Muskegon Covenant Academy,61906,125 Catherine Ave,Muskegon,MI,49442,"125 Catherine Ave, Muskegon, MI 49442",43.22828315,-86.24046154,"125 Catherine Avenue, Muskegon, MI 49442, United States of America",1,1,1
Muskegon Heights Public School Academy System,61905,2441 Sanford St,Muskegon Heights,MI,49444,"2441 Sanford St, Muskegon Heights, MI 49444",43.20796255,-86.24589984,"2441 Sanford Street, Muskegon Heights, MI 49444, United States of America",1,1,1
Muskegon Maritime Academy,61907,571 E Apple Ave,Muskegon,MI,49442,"571 E Apple Ave, Muskegon, MI 49442",43.23427237,-86.22983125,"571 East Apple Avenue, Muskegon, MI 49442, United States of America",1,1,1
Muskegon Montessori Academy for Environmental Change,61900,2950 Mccracken St,Norton Shores,MI,49441,"2950 Mccracken St, Norton Shores, MI 49441",43.19912555,-86.29260867,"2950 McCracken Street, Norton Shores, MI 49441, United States of America",1,1,1
Nah Tah Wahsh Public School Academy,55901,N14911 Hannahville Road B 1,Wilson,MI,49896,"N14911 Hannahville Road B 1, Wilson, MI 49896",,,,,,
Nah Tah Wahsh Public School Academy,55901,N14911 Hannahville B-1 Rd,Wilson,MI,49896,"N14911 Hannahville B-1 Rd, Wilson, MI 49896",45.70071,-87.34673,"N14911 Hannahville B-1 Rd, Wilson, MI 49896", ,,
Nataki Talibah Schoolhouse of Detroit,82905,19176 Northrop St,Detroit,MI,48219,"19176 Northrop St, Detroit, MI 48219",42.43030666,-83.26191329,"19176 Northrop Street, Detroit, MI 48219, United States of America",1,1,1
Navigator Academy,39901,1340 Cobb Street,Kalamazoo,MI,49007,"1340 Cobb Street, Kalamazoo, MI 49007",42.302591,-85.588193,"Kalamazoo (Kalamazoo), MI 49007, United States of America",0.25,1,
New Bedford Academy,58901,6315 Secor Rd,Lambertville,MI,48144,"6315 Secor Rd, Lambertville, MI 48144",41.7305516,-83.62674093,"New Bedford Academy, 6315 Secor Road, Lambertville, MI 48144, United States of America",1,1,1
New Beginnings Academy,82962,211 East Michigan Ave,Ypsilanti,MI,48198,"211 East Michigan Ave, Ypsilanti, MI 48198",42.24006602,-83.60948895,"211 East Michigan Avenue, Ypsilanti, MI 48198, United States of America",1,1,1
New Branches Charter Academy,41901,3662 Poinsettia Ave Se,Grand Rapids,MI,49508,"3662 Poinsettia Ave Se, Grand Rapids, MI 49508",42.89747976,-85.63515614,"3662 Poinsettia Avenue Southeast, Grand Rapids, MI 49508, United States of America",1,1,1
New Dawn Academy of Warren,50920,8200 Irving Rd,Sterling Hts,MI,48312,"8200 Irving Rd, Sterling Hts, MI 48312",42.54572194,-83.02680211,"8200 Irving Road, Sterling Heights, MI 48312, United States of America",1,1,1
New Hope Public School Academy,73913,3145 Russell St,Saginaw,MI,48601,"3145 Russell St, Saginaw, MI 48601",43.39714757,-83.96005573,"3145 Russell Street, Saginaw, MI 48601, United States of America",1,1,1
New Horizon Academy,82946,115 State Street,Detroit,MI,48226,"115 State Street, Detroit, MI 48226",42.3324375,-83.049215,"115 State Street, Detroit, MI 48226, United States of America",1,1,1
New Paradigm College Prep,82713,4001 29th St,Detroit,MI,48210,"4001 29th St, Detroit, MI 48210",42.33474285,-83.11007972,"4001 29th Street, Detroit, MI 48210, United States of America",1,1,1
New Paradigm Glazer Academy,82734,2001 Labelle,Detroit,MI,48238,"2001 Labelle, Detroit, MI 48238",42.399265,-83.116391,"2001 LaBelle Street, Detroit, MI 48238, United States of America",0.9,1,0.9
New Paradigm Glazer-Loving Academy,82735,2001 Labelle St,Detroit,MI,48238,"2001 Labelle St, Detroit, MI 48238",42.39965464,-83.11620596,"2001 LaBelle Street, Detroit, MI 48238, United States of America",1,1,1
New School for Creative Learning,41907,3950 Burton Se,Grand Rapids,MI,49546,"3950 Burton Se, Grand Rapids, MI 49546",42.926013,-85.570429,"3950 Burton Street SE, Grand Rapids, MI, United States of America",0.9,1,0.9
New School High,82758,46250 Ann Arbor Road,Plymouth,MI,48170,"46250 Ann Arbor Road, Plymouth, MI 48170",42.35811976,-83.49681365,"46250 Ann Arbor Road, Plymouth Charter Township, MI 48170, United States of America",1,1,1
Newland Academy of Arts & Science,51902,3031 Domres Road,Manistee,MI,49660,"3031 Domres Road, Manistee, MI 49660",44.307208,-86.24033772,"3031 Domres Road, Manistee Township, MI 49660, United States of America",1,1,1
NexTech High School,41929,801 Broadway Ave Nw # 225,Grand Rapids,MI,49504,"801 Broadway Ave Nw # 225, Grand Rapids, MI 49504",42.977896,-85.679551,"801 Broadway Avenue Northwest, Grand Rapids, MI 49504, United States of America",1,1,1
NexTech High School of Lansing,33913,2175 University Park Drive,Okemos,MI,48864,"2175 University Park Drive, Okemos, MI 48864",42.67997163,-84.42850304,"2175 University Park Drive, Alaiedon Township, MI 48864, United States of America",1,1,1
NexTech High School of Metro Detroit,63930,31333 Southfield Rd,Beverly Hills,MI,48025,"31333 Southfield Rd, Beverly Hills, MI 48025",42.51974375,-83.22422668,"31333 Southfield Road, Beverly Hills, MI 48025, United States of America",1,1,1
Noah Webster Academy,34901,6403 Harwood Road,Ionia,MI,48846,"6403 Harwood Road, Ionia, MI 48846",42.89424514,-85.09461309,"6403 Harwood Road, Ionia, MI 48846, United States of America",1,1,1
Noor International Academy,50913,37412 Dequindre Rd,Sterling Heights,MI,48310,"37412 Dequindre Rd, Sterling Heights, MI 48310",42.567005,-83.088785,"37412 Dequindre Road, Sterling Heights, MI 48310, United States of America",1,1,1
North Saginaw Charter Academy,73910,2332 Trautner Dr,Saginaw,MI,48604,"2332 Trautner Dr, Saginaw, MI 48604",43.48470259,-83.96243461,"2332 Trautner Drive, Kochville Township, MI 48604, United States of America",1,1,1
North Star Montessori Academy,52901,3030 Wright St,Marquette,MI,49855,"3030 Wright St, Marquette, MI 49855",46.5558402,-87.45840746,"3030 Wright Street, Trowbridge Park, MI 49855, United States of America",1,1,1
Northpointe Academy,82992,53 Candler St,Highland Park,MI,48203,"53 Candler St, Highland Park, MI 48203",42.41473867,-83.100966,"53 Candler Street, Highland Park, MI 48203, United States of America",1,1,1
Northridge Academy,25904,4100 W Coldwater Rd,Flint,MI,48504,"4100 W Coldwater Rd, Flint, MI 48504",43.091912,-83.757324,"4100 Coldwater Road, Flint, MI 48504, United States of America",0.9,1,0.9
Nsoroma Institute,82922,20045 Joann St,Detroit,MI,48205,"20045 Joann St, Detroit, MI 48205",42.4442627,-82.99100023,"20045 Joann Street, Detroit, MI 48205, United States of America",1,1,1
Oakland Academy,39903,6325 Oakland Dr,Portage,MI,49024,"6325 Oakland Dr, Portage, MI 49024",42.22548642,-85.61382024,"6325 Oakland Drive, Portage, MI 49024, United States of America",1,1,1
Oakland County Academy of Media & Technology,63900,48980 Woodward Ave,Pontiac,MI,48342,"48980 Woodward Ave, Pontiac, MI 48342",42.642627,-83.297769,"48980 Woodward Avenue, Pontiac, MI 48342, United States of America",1,1,1
Oakland FlexTech High School,63931,23801 Industrial Park Dr,Farmington Hills,MI,48335,"23801 Industrial Park Dr, Farmington Hills, MI 48335",42.46537935,-83.42347865,"23801 Industrial Park Drive, Farmington Hills, MI 48335, United States of America",1,1,1
Oakland International Academy,63912,6111 Miller St,Detroit,MI,48211,"6111 Miller St, Detroit, MI 48211",42.39071398,-83.03976755,"6111 Miller Street, Detroit, MI 48211, United States of America",1,1,1
Oakland-Macomb Montessori Academy,50900,17350 Wellington Ave,Roseville,MI,48066,"17350 Wellington Ave, Roseville, MI 48066",42.5070175,-82.9417915,"17350 Wellington Avenue, Roseville, MI 48066, United States of America",1,1,1
Oakside Prep Academy,63909,355 Summit Dr,Waterford,MI,48328,"355 Summit Dr, Waterford, MI 48328",42.64789126,-83.33242706,"355 Summit Drive, Waterford Township, MI 48328, United States of America",1,1,1
Oasis Academy,63905,21705 Evergreen Road,Southfield,MI,48075,"21705 Evergreen Road, Southfield, MI 48075",42.4509857,-83.23975465,"21705 Evergreen Road, Southfield, MI 48075, United States of America",1,1,1
Ojibwe Charter School,17902,12099 W Lakeshore Dr,Brimley,MI,49715,"12099 W Lakeshore Dr, Brimley, MI 49715",46.450491,-84.600999,"12099 West Lakeshore Drive, Bay Mills, MI 49715, United States of America",1,1,1
Old Mission Peninsula School,28900,2699 Island View Rd,Traverse City,MI,49686,"2699 Island View Rd, Traverse City, MI 49686",44.8724706,-85.5211356,"Old Mission Peninsula School, 2699 Island View Road, Traverse City, MI 49686, United States of America",1,1,1
Old Redford Academy,82956,17195 Redford St,Detroit,MI,48219,"17195 Redford St, Detroit, MI 48219",42.41544432,-83.26086851,"17195 Redford Street, Detroit, MI 48219, United States of America",1,1,1
Orchard Academy,82769,278 Mack Ave,Detroit,MI,48201,"278 Mack Ave, Detroit, MI 48201",42.34867405,-83.0543696,"278 Mack Avenue, Detroit, MI 48201, United States of America",1,1,1
Outlook Academy,3902,2879 116th Ave,Allegan,MI,49010,"2879 116th Ave, Allegan, MI 49010",42.53513924,-85.82561616,"2879 116th Avenue, Watson, MI 49010, United States of America",1,1,1
Pansophia Academy,12901,52 Abbott Ave,Coldwater,MI,49036,"52 Abbott Ave, Coldwater, MI 49036",41.950176,-84.998064,"52 Abbott Avenue, Coldwater, MI 49036, United States of America",1,1,1
Paragon Charter Academy,38902,3750 Mccain Rd,Jackson,MI,49201,"3750 Mccain Rd, Jackson, MI 49201",42.23491425,-84.46582161,"Paragon Charter Academy, 3750 McCain Road, Summit Township, MI 49201, United States of America",1,1,1
Paramount Charter Academy,39905,3624 S Westnedge Ave,Kalamazoo,MI,49008,"3624 S Westnedge Ave, Kalamazoo, MI 49008",42.25530621,-85.58972979,"3624 South Westnedge Avenue, Kalamazoo, MI 49008, United States of America",1,1,1
Pathfinder Charter Academy,11902,300 East Napier,Benton Harbor,MI,49022,"300 East Napier, Benton Harbor, MI 49022",42.0939744,-86.296253,"East Napier Avenue, Bainbridge Township, MI 49022, United States of America",0.45,1,0.9
Pathways Academy,82737,11340 E Jefferson Ave,Detroit,MI,48214,"11340 E Jefferson Ave, Detroit, MI 48214",42.36674776,-82.97089082,"11340 East Jefferson Avenue, Detroit, MI 48214, United States of America",1,1,1
Pathways Global Leadership Academy,82712,556 Cu#r St,Detroit,MI,48202,"556 Cu#r St, Detroit, MI 48202",42.374786,-83.077718,"Detroit (Detroit), MI 48202, United States of America",0.25,1,
Pembroke Academy,82765,19940 Mansfield St,Detroit,MI,48235,"19940 Mansfield St, Detroit, MI 48235",42.43806207,-83.20647887,"19940 Mansfield Street, Detroit, MI 48235, United States of America",1,1,1
Pierre Toussaint Academy,82939,2450 South Beatrice St,Detroit,MI,48217,"2450 South Beatrice St, Detroit, MI 48217",42.269343,-83.154443,"2450 Beatrice Street, Detroit, MI 48217, United States of America",0.9,1,0.9
Pittsfield Acres Academy,81915,4377 Textile Rd,Ypsilanti,MI,48197,"4377 Textile Rd, Ypsilanti, MI 48197",42.20134102,-83.67247535,"4377 Textile Road, Pittsfield Charter Township, MI 48197, United States of America",1,1,1
Plymouth Educational Center Charter School,82904,1460 E Forest Ave,Detroit,MI,48207,"1460 E Forest Ave, Detroit, MI 48207",42.36013836,-83.04910081,"1460 East Forest Avenue, Detroit, MI 48207, United States of America",1,1,1
Plymouth Scholars Charter Academy,82743,48484 N Territorial Rd,Plymouth,MI,48170,"48484 N Territorial Rd, Plymouth, MI 48170",42.37674509,-83.52070103,"48484 North Territorial Road, Plymouth Charter Township, MI 48170, United States of America",1,1,1
Pontiac Academy for Excellence,63906,196 Cesar E Chavez Ave,Pontiac,MI,48342,"196 Cesar E Chavez Ave, Pontiac, MI 48342",42.64396157,-83.29780779,"196 Cesar E. Chavez Avenue, Pontiac, MI 48342, United States of America",1,1,1
PrepNet Virtual Academy,41931,3850 Broadmoor Ave Se,Grand Rapids,MI,49512,"3850 Broadmoor Ave Se, Grand Rapids, MI 49512",42.89336517,-85.57349104,"3850 Broadmoor Avenue Southeast, Kentwood, MI 49512, United States of America",1,1,1
Presque Isle Academy,71902,20830 Cedar St,Onaway,MI,49765,"20830 Cedar St, Onaway, MI 49765",45.36160355,-84.2306137,"Presque Isle Academy, 20830 West Cedar Street, Onaway, MI 49765, United States of America",1,1,1
Presque Isle Academy I,71901,251 W. Huron Avenue,Rogers City,MI,49779,"251 W. Huron Avenue, Rogers City, MI 49779",45.42049312,-83.81971369,"251 West Huron Avenue, Rogers City, MI 49779, United States of America",1,1,1
Prevail Academy,50909,353 Cass Ave,Mount Clemens,MI,48043,"353 Cass Ave, Mount Clemens, MI 48043",42.59830969,-82.89523608,"353 Cass Avenue, Mount Clemens, MI 48043, United States of America",1,1,1
Public Safety Academy of St. Clair,74909,Po Box 1500,Marysville,MI,48040,"Po Box 1500, Marysville, MI 48040",42.9108647,-82.4861734,"Marysville, MI 48040, United States of America",1,1,
Quest Charter Academy,82718,24745 Van Born Rd,Taylor,MI,48180,"24745 Van Born Rd, Taylor, MI 48180",42.26887418,-83.27716482,"24745 Van Born Road, Taylor, MI 48180, United States of America",1,1,1
Questar Academy,25901,5106 Calkins Road,Flint,MI,48532,"5106 Calkins Road, Flint, MI 48532",43.01665706,-83.77752304,"5106 Calkins Road, Flint Charter Township, MI 48532, United States of America",1,1,1
